Date,Close,High,Low,Open,Volume,Ticker
,EEM,EEM,EEM,EEM,EEM,
2020-08-24,39.99439239501953,40.1730591118057,39.84252449302683,40.146256889228056,26576500,EEM
2020-08-25,40.396392822265625,40.43212344042721,40.03905937837549,40.128391035455884,27608400,EEM
2020-08-26,40.50359344482422,40.548259275517566,40.35172553112551,40.40532657262819,31465300,EEM
2020-08-27,40.164119720458984,40.61078476203291,39.99438823146307,40.61078476203291,31947400,EEM
2020-08-28,40.69118881225586,40.700124022369955,40.30705656417013,40.41425863883418,24151700,EEM
2020-08-31,39.7889289855957,39.94972869850114,39.52986240282757,39.94079348790397,52790000,EEM
2020-09-01,40.46785354614258,40.494655766897715,40.128387148110406,40.16412117059462,34212200,EEM
2020-09-02,40.36065673828125,40.530388241192895,40.003323312611975,40.52145643905401,50638400,EEM
2020-09-03,39.5923957824707,40.15519478526741,39.34226440690968,40.14625957454914,82433300,EEM
2020-09-04,39.61026382446289,39.89612923474966,38.93133432697794,39.681728473142336,62284500,EEM
2020-09-08,38.92238998413086,39.27078815819081,38.79732432244613,38.913458183060676,50051100,EEM
2020-09-09,39.50306701660156,39.58346688003529,39.217201592789344,39.315465063399756,49010500,EEM
2020-09-10,38.868797302246094,39.610263038313285,38.868797302246094,39.54773019404068,54276200,EEM
2020-09-11,39.24399185180664,39.529857213268585,39.04745813788259,39.404791543601974,49400700,EEM
2020-09-14,39.87826156616211,39.94079441064954,39.70853004652258,39.76212768020641,38892300,EEM
2020-09-15,40.298126220703125,40.40532489146378,40.21772636568656,40.36959086528213,30541000,EEM
2020-09-16,40.24452590942383,40.566125335307575,40.2266588960098,40.42319263577973,38179100,EEM
2020-09-17,40.08372497558594,40.14625781673818,39.73532674408507,39.762125559497676,38231100,EEM
2020-09-18,39.771060943603516,40.15519320252248,39.708528102178036,40.1194591766267,34270500,EEM
2020-09-21,39.4047966003418,39.43159541648542,38.761597750620034,39.101064188838116,42901100,EEM
2020-09-22,39.11000061035156,39.279735553397764,38.78840114751113,39.261868537930546,44884000,EEM
2020-09-23,38.502525329589844,39.06532423774619,38.466794716078454,38.99385960293957,40837000,EEM
2020-09-24,38.32386779785156,38.59186618227188,37.90400150399631,37.96653434676824,46493800,EEM
2020-09-25,38.35960388183594,38.37747089771406,37.7789412008288,38.00227378762805,44165700,EEM
